"annotation_id","annotator","created_at","id","lead_time","pos_tags","text","updated_at"
1,"1","2025-01-24T09:34:28.800975Z",40,217.453,"[{""start"":0,""end"":4,""text"":""मेरे"",""labels"":[""PRON""]},{""start"":5,""end"":11,""text"":""प्यारे"",""labels"":[""ADJ""]},{""start"":12,""end"":21,""text"":""देशवासियो"",""labels"":[""NOUN""]},{""start"":21,""end"":22,""text"":"","",""labels"":[""X""]},{""start"":23,""end"":27,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""में"",""labels"":[""ADP""]},{""start"":32,""end"":35,""text"":""Fit"",""labels"":[""PROPN""]},{""start"":36,""end"":41,""text"":""India"",""labels"":[""PROPN""]},{""start"":42,""end"":50,""text"":""Movement"",""labels"":[""PROPN""]},{""start"":51,""end"":53,""text"":""से"",""labels"":[""ADP""]},{""start"":54,""end"":56,""text"":""तो"",""labels"":[""PART""]},{""start"":57,""end"":59,""text"":""आप"",""labels"":[""PRON""]},{""start"":60,""end"":66,""text"":""परिचित"",""labels"":[""ADJ""]},{""start"":67,""end"":69,""text"":""हो"",""labels"":[""VERB""]},{""start"":70,""end"":72,""text"":""ही"",""labels"":[""PART""]},{""start"":73,""end"":75,""text"":""गए"",""labels"":[""VERB""]},{""start"":76,""end"":81,""text"":""होंगे"",""labels"":[""VERB""]},{""start"":81,""end"":82,""text"":""।"",""labels"":[""X""]}]","मेरे प्यारे देशवासियो, भारत में Fit India Movement से तो आप परिचित हो ही गए होंगे।","2025-01-24T09:34:28.801025Z"
2,"1","2025-01-24T09:42:27.689144Z",41,463.321,"[{""start"":0,""end"":2,""text"":""और"",""labels"":[""CONJ""]},{""start"":3,""end"":9,""text"":""श्वेता"",""labels"":[""PROPN""]},{""start"":10,""end"":12,""text"":""का"",""labels"":[""ADP""]},{""start"":13,""end"":18,""text"":""सुझाव"",""labels"":[""NOUN""]},{""start"":19,""end"":22,""text"":""सही"",""labels"":[""ADJ""]},{""start"":23,""end"":25,""text"":""है"",""labels"":[""VERB""]},{""start"":26,""end"":28,""text"":""कि"",""labels"":[""CONJ""]},{""start"":29,""end"":33,""text"":""मुझे"",""labels"":[""PRON""]},{""start"":33,""end"":34,""text"":"","",""labels"":[""X""]},{""start"":34,""end"":39,""text"":"" इसको"",""labels"":[""PRON""]},{""start"":39,""end"":40,""text"":"","",""labels"":[""X""]},{""start"":41,""end"":46,""text"":""जनवरी"",""labels"":[""PROPN""]},{""start"":47,""end"":50,""text"":""में"",""labels"":[""ADP""]},{""start"":51,""end"":55,""text"":""करना"",""labels"":[""VERB""]},{""start"":56,""end"":61,""text"":""चाहिए"",""labels"":[""VERB""]},{""start"":62,""end"":65,""text"":""HRD"",""labels"":[""PROPN""]},{""start"":66,""end"":74,""text"":""Ministry"",""labels"":[""PROPN""]},{""start"":75,""end"":77,""text"":""और"",""labels"":[""CONJ""]},{""start"":78,""end"":83,""text"":""MyGov"",""labels"":[""PROPN""]},{""start"":84,""end"":86,""text"":""की"",""labels"":[""ADP""]},{""start"":87,""end"":90,""text"":""टीम"",""labels"":[""NOUN""]},{""start"":90,""end"":91,""text"":"","",""labels"":[""X""]},{""start"":92,""end"":97,""text"":""मिलकर"",""labels"":[""ADV""]},{""start"":97,""end"":98,""text"":"","",""labels"":[""X""]},{""start"":99,""end"":101,""text"":""इस"",""labels"":[""PRON""]},{""start"":102,""end"":104,""text"":""पर"",""labels"":[""ADP""]},{""start"":105,""end"":108,""text"":""काम"",""labels"":[""NOUN""]},{""start"":109,""end"":111,""text"":""कर"",""labels"":[""VERB""]},{""start"":112,""end"":115,""text"":""रही"",""labels"":[""VERB""]},{""start"":116,""end"":119,""text"":""हैं"",""labels"":[""VERB""]},{""start"":119,""end"":120,""text"":""।"",""labels"":[""X""]}]","और श्वेता का सुझाव सही है कि मुझे, इसको, जनवरी में करना चाहिए HRD Ministry और MyGov की टीम, मिलकर, इस पर काम कर रही हैं।","2025-01-24T09:42:27.689293Z"
3,"1","2025-01-24T09:46:16.975296Z",42,223.244,"[{""start"":0,""end"":4,""text"":""आपको"",""labels"":[""PRON""]},{""start"":5,""end"":8,""text"":""पता"",""labels"":[""NOUN""]},{""start"":9,""end"":13,""text"":""होगा"",""labels"":[""VERB""]},{""start"":14,""end"":16,""text"":""कि"",""labels"":[""CONJ""]},{""start"":17,""end"":21,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":22,""end"":24,""text"":""के"",""labels"":[""ADP""]},{""start"":25,""end"":27,""text"":""ही"",""labels"":[""PART""]},{""start"":28,""end"":34,""text"":""प्रयास"",""labels"":[""NOUN""]},{""start"":35,""end"":37,""text"":""से"",""labels"":[""ADP""]},{""start"":38,""end"":43,""text"":""पिछले"",""labels"":[""ADJ""]},{""start"":44,""end"":47,""text"":""साल"",""labels"":[""NOUN""]},{""start"":48,""end"":76,""text"":""International Solar Alliance"",""labels"":[""PROPN""]},{""start"":77,""end"":79,""text"":""का"",""labels"":[""ADP""]},{""start"":80,""end"":83,""text"":""गठन"",""labels"":[""NOUN""]},{""start"":84,""end"":88,""text"":""किया"",""labels"":[""VERB""]},{""start"":89,""end"":92,""text"":""गया"",""labels"":[""VERB""]},{""start"":93,""end"":95,""text"":""है"",""labels"":[""VERB""]},{""start"":95,""end"":96,""text"":""।"",""labels"":[""X""]}]","आपको पता होगा कि भारत के ही प्रयास से पिछले साल International Solar Alliance का गठन किया गया है।","2025-01-24T09:46:16.975364Z"
4,"1","2025-01-24T09:48:22.788501Z",43,121.697,"[{""start"":0,""end"":5,""text"":""Bihar"",""labels"":[""PROPN""]},{""start"":6,""end"":14,""text"":""Politics"",""labels"":[""NOUN""]},{""start"":14,""end"":15,""text"":"":"",""labels"":[""X""]},{""start"":16,""end"":29,""text"":""राजस्थान-एमपी"",""labels"":[""PROPN""]},{""start"":30,""end"":32,""text"":""की"",""labels"":[""ADP""]},{""start"":33,""end"":37,""text"":""तर्ज"",""labels"":[""NOUN""]},{""start"":38,""end"":40,""text"":""पर"",""labels"":[""ADP""]},{""start"":41,""end"":51,""text"":""मंत्रिमंडल"",""labels"":[""NOUN""]},{""start"":52,""end"":59,""text"":""विस्तार"",""labels"":[""NOUN""]},{""start"":60,""end"":63,""text"":""में"",""labels"":[""ADP""]},{""start"":64,""end"":72,""text"":""चौंकाएगी"",""labels"":[""VERB""]},{""start"":73,""end"":76,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":76,""end"":77,""text"":""."",""labels"":[""X""]}]","Bihar Politics: राजस्थान-एमपी की तर्ज पर मंत्रिमंडल विस्तार में चौंकाएगी BJP.","2025-01-24T09:48:22.788737Z"
5,"1","2025-01-24T09:52:25.907384Z",44,239.655,"[{""start"":0,""end"":6,""text"":""Bharat"",""labels"":[""PROPN""]},{""start"":7,""end"":11,""text"":""Nyay"",""labels"":[""PROPN""]},{""start"":12,""end"":16,""text"":""Jodo"",""labels"":[""PROPN""]},{""start"":17,""end"":22,""text"":""Yatra"",""labels"":[""PROPN""]},{""start"":23,""end"":24,""text"":"":"",""labels"":[""X""]},{""start"":25,""end"":37,""text"":""Rahul Gandhi"",""labels"":[""PROPN""]},{""start"":38,""end"":40,""text"":""ने"",""labels"":[""ADP""]},{""start"":41,""end"":46,""text"":""नीतीश"",""labels"":[""PROPN""]},{""start"":47,""end"":49,""text"":""पर"",""labels"":[""ADP""]},{""start"":50,""end"":52,""text"":""एक"",""labels"":[""DET""]},{""start"":53,""end"":57,""text"":""शब्द"",""labels"":[""NOUN""]},{""start"":58,""end"":62,""text"":""नहीं"",""labels"":[""PART""]},{""start"":63,""end"":66,""text"":""कहा"",""labels"":[""VERB""]},{""start"":66,""end"":68,""text"":"" |"",""labels"":[""X""]},{""start"":69,""end"":74,""text"":""Bihar"",""labels"":[""PROPN""]}]","Bharat Nyay Jodo Yatra : Rahul Gandhi ने नीतीश पर एक शब्द नहीं कहा | Bihar","2025-01-24T09:52:25.907463Z"
6,"1","2025-01-24T09:55:02.268594Z",45,149.314,"[{""start"":0,""end"":5,""text"":""Bihar"",""labels"":[""PROPN""]},{""start"":6,""end"":14,""text"":""Politics"",""labels"":[""NOUN""]},{""start"":14,""end"":15,""text"":"":"",""labels"":[""X""]},{""start"":16,""end"":21,""text"":""बिहार"",""labels"":[""PROPN""]},{""start"":22,""end"":25,""text"":""NDA"",""labels"":[""PROPN""]},{""start"":26,""end"":31,""text"":""सरकार"",""labels"":[""NOUN""]},{""start"":32,""end"":34,""text"":""की"",""labels"":[""ADP""]},{""start"":35,""end"":39,""text"":""पहली"",""labels"":[""ADJ""]},{""start"":40,""end"":47,""text"":""कैबिनेट"",""labels"":[""NOUN""]},{""start"":47,""end"":48,""text"":"";"",""labels"":[""X""]},{""start"":49,""end"":55,""text"":""स्पीकर"",""labels"":[""NOUN""]},{""start"":56,""end"":58,""text"":""के"",""labels"":[""ADP""]},{""start"":59,""end"":64,""text"":""खिलाफ"",""labels"":[""ADP""]},{""start"":65,""end"":73,""text"":""अविश्वास"",""labels"":[""NOUN""]},{""start"":74,""end"":82,""text"":""प्रस्ताव"",""labels"":[""NOUN""]},{""start"":83,""end"":92,""text"":""presented"",""labels"":[""VERB""]},{""start"":93,""end"":98,""text"":""today"",""labels"":[""ADV""]},{""start"":98,""end"":99,""text"":""."",""labels"":[""X""]}]","Bihar Politics: बिहार NDA सरकार की पहली कैबिनेट; स्पीकर के खिलाफ अविश्वास प्रस्ताव presented today.","2025-01-24T09:55:02.268688Z"
7,"1","2025-01-24T09:57:17.319590Z",46,131.989,"[{""start"":0,""end"":5,""text"":""Bihar"",""labels"":[""PROPN""]},{""start"":6,""end"":15,""text"":""Political"",""labels"":[""ADJ""]},{""start"":16,""end"":22,""text"":""Crises"",""labels"":[""NOUN""]},{""start"":22,""end"":23,""text"":"":"",""labels"":[""X""]},{""start"":24,""end"":29,""text"":""नीतीश"",""labels"":[""PROPN""]},{""start"":30,""end"":35,""text"":""कुमार"",""labels"":[""PROPN""]},{""start"":36,""end"":40,""text"":""9वीं"",""labels"":[""NUM""]},{""start"":41,""end"":44,""text"":""बार"",""labels"":[""NOUN""]},{""start"":45,""end"":50,""text"":""बिहार"",""labels"":[""PROPN""]},{""start"":51,""end"":53,""text"":""के"",""labels"":[""ADP""]},{""start"":54,""end"":65,""text"":""मुख्यमंत्री"",""labels"":[""NOUN""]},{""start"":66,""end"":69,""text"":""बने"",""labels"":[""VERB""]},{""start"":70,""end"":71,""text"":""|"",""labels"":[""X""]}]","Bihar Political Crises: नीतीश कुमार 9वीं बार बिहार के मुख्यमंत्री बने |","2025-01-24T09:57:17.319714Z"
8,"1","2025-01-24T09:59:24.532237Z",47,122.589,"[{""start"":0,""end"":22,""text"":""Bharat Nyay Jodo Yatra"",""labels"":[""PROPN""]},{""start"":22,""end"":23,""text"":"":"",""labels"":[""X""]},{""start"":24,""end"":35,""text"":""राहुल गांधी"",""labels"":[""PROPN""]},{""start"":36,""end"":38,""text"":""से"",""labels"":[""ADP""]},{""start"":39,""end"":47,""text"":""मिल सकती"",""labels"":[""VERB""]},{""start"":48,""end"":51,""text"":""हैं"",""labels"":[""VERB""]},{""start"":52,""end"":63,""text"":""ममता बनर्जी"",""labels"":[""PROPN""]},{""start"":64,""end"":69,""text"":""today"",""labels"":[""ADV""]},{""start"":69,""end"":70,""text"":""."",""labels"":[""X""]}]","Bharat Nyay Jodo Yatra: राहुल गांधी से मिल सकती हैं ममता बनर्जी today.","2025-01-24T09:59:24.532311Z"
9,"1","2025-01-24T10:03:42.087274Z",48,231.152,"[{""start"":0,""end"":12,""text"":""Nitish Kumar"",""labels"":[""PROPN""]},{""start"":13,""end"":20,""text"":""Resigns"",""labels"":[""VERB""]},{""start"":20,""end"":21,""text"":"":"",""labels"":[""X""]},{""start"":22,""end"":33,""text"":""नीतीश कुमार"",""labels"":[""PROPN""]},{""start"":34,""end"":36,""text"":""ने"",""labels"":[""ADP""]},{""start"":37,""end"":41,""text"":""दिया"",""labels"":[""VERB""]},{""start"":42,""end"":49,""text"":""इस्तीफा"",""labels"":[""NOUN""]},{""start"":49,""end"":50,""text"":"";"",""labels"":[""X""]},{""start"":51,""end"":54,""text"":""शाम"",""labels"":[""NOUN""]},{""start"":55,""end"":57,""text"":""को"",""labels"":[""ADP""]},{""start"":58,""end"":69,""text"":""ले सकते हैं"",""labels"":[""VERB""]},{""start"":70,""end"":73,""text"":""शपत"",""labels"":[""NOUN""]},{""start"":74,""end"":75,""text"":""|"",""labels"":[""X""]}]","Nitish Kumar Resigns: नीतीश कुमार ने दिया इस्तीफा; शाम को ले सकते हैं शपत |","2025-01-24T10:03:42.087395Z"
10,"1","2025-01-24T10:07:50.157313Z",49,241.025,"[{""start"":0,""end"":9,""text"":""Lok Sabha"",""labels"":[""PROPN""]},{""start"":10,""end"":18,""text"":""Election"",""labels"":[""NOUN""]},{""start"":19,""end"":23,""text"":""2024"",""labels"":[""NUM""]},{""start"":23,""end"":24,""text"":"":"",""labels"":[""X""]},{""start"":25,""end"":38,""text"":""Uttar Pradesh"",""labels"":[""PROPN""]},{""start"":39,""end"":42,""text"":""में"",""labels"":[""ADP""]},{""start"":43,""end"":46,""text"":""SPA"",""labels"":[""PROPN""]},{""start"":47,""end"":49,""text"":""और"",""labels"":[""CONJ""]},{""start"":50,""end"":58,""text"":""Congress"",""labels"":[""PROPN""]},{""start"":59,""end"":62,""text"":""में"",""labels"":[""ADP""]},{""start"":63,""end"":69,""text"":""गठबंधन"",""labels"":[""NOUN""]},{""start"":69,""end"":71,""text"":"" |"",""labels"":[""X""]},{""start"":72,""end"":74,""text"":""UP"",""labels"":[""PROPN""]},{""start"":75,""end"":79,""text"":""News"",""labels"":[""NOUN""]}]","Lok Sabha Election 2024: Uttar Pradesh में SPA और Congress में गठबंधन | UP News","2025-01-24T10:07:50.157391Z"
